Domain,Base Domain,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,OCSP Stapling,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,Not Before,Not After,Highest Served Issuer,Errors
nydailynews.com,nydailynews.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-28 21:06:06+00:00,2018-09-03 19:23:44+00:00,GlobalSign Root CA,
bloomberg.com,bloomberg.com,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-08 00:00:00+00:00,2018-06-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
thestar.com,thestar.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-12-09 10:50:39+00:00,2016-10-17 16:50:39+00:00,SecureTrust CA,
welt.de,welt.de,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2016-06-26 00:00:00+00:00,2017-06-26 23:59:59+00:00,Class 3 Public Primary Certification Authority,
forbes.com,forbes.com,False,False,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-24 00:00:00+00:00,2017-01-22 23:59:59+00:00,GeoTrust Global CA,
faz.net,faz.net,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-09-25 00:00:00+00:00,2016-10-13 23:59:59+00:00,thawte Primary Root CA,
lexpress.fr,lexpress.fr,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-12-14 07:31:57+00:00,2018-02-13 11:36:32+00:00,GeoTrust Global CA,
propublica.org,propublica.org,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-28 19:44:08+00:00,2016-09-28 12:34:01+00:00,GlobalSign Root CA,
newyorker.com,newyorker.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-04-08 16:00:07+00:00,2017-02-27 13:32:03+00:00,GlobalSign Root CA,
wired.com,wired.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-04-08 16:00:07+00:00,2017-02-27 13:32:03+00:00,GlobalSign Root CA,
theintercept.com,theintercept.com,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-02-06 00:00:00+00:00,2017-02-09 23:59:59+00:00,AddTrust External CA Root,
nj.com,nj.com,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-09-18 14:49:15+00:00,2017-09-19 01:22:51+00:00,Entrust Root Certification Authority,
time.com,time.com,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-10-20 00:00:00+00:00,2017-10-19 23:59:59+00:00,AddTrust External CA Root,
startribune.com,startribune.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,True,2016-03-14 00:00:00+00:00,2018-05-13 23:59:59+00:00,Equifax Secure Certificate Authority,
theguardian.com,theguardian.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-06 16:41:07+00:00,2018-03-13 14:01:54+00:00,GlobalSign Root CA,
msnbc.com,msnbc.com,False,False,True,True,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2016-01-25 14:09:28+00:00,2017-01-25 14:09:24+00:00,GTE CyberTrust Global Root,
cnbc.com,cnbc.com,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-08-27 08:46:48+00:00,2016-08-27 08:46:43+00:00,GTE CyberTrust Global Root,
thesun.co.uk,co.uk,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-03-24 00:00:00+00:00,2019-03-24 23:59:59+00:00,AddTrust External CA Root,
nbcnews.com,nbcnews.com,False,False,True,True,True,True,False,,False,False,,,,,,,,,_nassl.OpenSSLError - error:27069065:OCSP routines:OCSP_basic_verify:certificate verify error
thedailybeast.com,thedailybeast.com,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-07-22 00:00:00+00:00,2016-07-21 23:59:59+00:00,Equifax Secure Certificate Authority,
ft.com,ft.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-24 12:39:06+00:00,2018-09-03 20:15:29+00:00,GlobalSign Root CA,
bostonherald.com,bostonherald.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-24 12:39:06+00:00,2018-09-03 20:15:29+00:00,GlobalSign Root CA,
buzzfeed.com,buzzfeed.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-16 15:26:10+00:00,2018-12-28 14:41:49+00:00,GlobalSign Root CA,
bbc.co.uk,co.uk,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-03-14 17:01:06+00:00,2017-03-15 17:01:06+00:00,GlobalSign Root CA,
gawker.com,gawker.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,True,2016-05-17 13:43:44+00:00,2017-03-12 17:45:15+00:00,GlobalSign Root CA,
theatlantic.com,theatlantic.com,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-07-04 08:58:58+00:00,2016-10-10 00:03:18+00:00,GlobalSign Root CA,
vice.com,vice.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-11 05:56:07+00:00,2018-08-22 22:40:47+00:00,GeoTrust Global CA,
mashable.com,mashable.com,False,False,True,True,True,True,False,,False,False,,,,,,,,,_nassl.OpenSSLError - error:27069065:OCSP routines:OCSP_basic_verify:certificate verify error
salon.com,salon.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-05-19 17:30:07+00:00,2018-08-19 18:53:40+00:00,GlobalSign Root CA,
bostonglobe.com,bostonglobe.com,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-21 00:00:00+00:00,2016-08-25 12:00:00+00:00,DigiCert High Assurance EV Root CA,
washingtonpost.com,washingtonpost.com,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-03-18 14:03:55+00:00,2017-06-19 03:24:58+00:00,Entrust Root Certification Authority,
nytimes.com,nytimes.com,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-21 00:00:00+00:00,2018-05-20 23:59:59+00:00,AddTrust External CA Root,
stltoday.com,stltoday.com,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2016-06-07 08:01:00+00:00,2016-09-05 08:01:00+00:00,DST Root CA X3,
spiegel.de,spiegel.de,False,False,False,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-10-06 00:00:00+00:00,2018-10-05 23:59:59+00:00,Equifax Secure Certificate Authority,
